UNIVERSIDAD,CENTRO,TÍTULO,"TIPO DE UNIV/ CENTRO","OFERTA DE PLAZAS 2019/2020","NOTA DE CORTE 2019/2020","NOTA MEDIA DE ADMISIÓN 2019/2020","RENDIM. MEDIO 2018/2019","CRÉDITOS NECESAR.","PRECIO DEL CRÉDITO 2019/2020" 
"Universidad Autónoma de Barcelona",Escuela de Ingeniería,"Grado en Ingeniería de Sistemas de Telecomunicación",Pública / Propio,-,-,-,75 %,240,"39,53 €" 
"Universidad Autónoma de Barcelona",Escuela de Ingeniería,"Grado en Ingeniería Electrónica de Telecomunicación",Pública / Propio,-,-,-,78 %,240,"39,53 €" 
"Universidad Autónoma de Madrid",Facultad de Ciencias,"Grado en Ingeniería Biomédica",Pública / Propio,-,-,-,,240, 
"Universidad Autónoma de Madrid",Facultad de Medicina,"Grado en Ingeniería Biomédica",Pública / Propio,-,-,-,,240, 
"Universidad Autónoma de Madrid","Escuela Politécnica Superior","Grado en Ingeniería Biomédica",Pública / Propio,-,-,-,,240, 
"Universidad Cardenal Herrera-CEU","Escuela Superior de Enseñanzas Técnicas","Grado en Ingeniería de Diseño Industrial y Desarrollo de Productos",Privada / Propio,-,-,-,80 %,240, 
"Universidad Católica San Antonio","Facultad de Ciencias de la Salud","Grado en Ciencia y Tecnología de los Alimentos",Privada / Propio,-,-,-,66 %,240, 
"Universidad Católica San Antonio","Escuela Politécnica Superior","Grado en Ingeniería Eléctrica",Privada / Propio,-,-,-,,240, 
"Universidad Católica San Antonio","Escuela Politécnica Superior","Grado en Ingeniería en Sistemas de Telecomunicación",Privada / Propio,-,-,-,64 %,240, 
"Universidad Católica San Antonio","Escuela Politécnica Superior","Grado en Ingeniería en Tecnologías de Telecomunicación",Privada / Propio,-,-,-,,240, 
"Universidad Católica Santa Teresa de Jesús de Ávila","Facultad de Ciencias y Artes","Grado en Ingeniería Mecánica",Privada / Propio,-,-,-,57 %,240, 
"Universidad de Barcelona","Facultad de Ciencias de la Tierra","Grado en Ingeniería Geológica y Ambiental",Pública / Propio,-,-,-,,240, 
Universidad de Cádiz,"Escuela Superior de Ingeniería","Grado en Ingeniería en Tecnologías Industriales",Pública / Propio,-,-,-,,240, 
Universidad de Cádiz,"Escuela Politécnica Superior","Grado en Ingeniería en Tecnologías Industriales",Pública / Propio,-,-,-,,240, 
"Universidad de Cantabria","Escuela Técnica Superior de Ingenieros de Caminos, Canales y Puertos","Grado en Ingeniería Civil con Mención en Construcciones Civiles",Pública / Propio,-,-,-,,240, 
"Universidad de Castilla- La Mancha","Escuela de Ingeniería Minera e Industrial de Almadén","Grado en Ingeniería de la Tecnología Minera",Pública / Propio,-,-,-,n/d,240,"18,87 €" 
"Universidad de Castilla- La Mancha","Escuela de Ingeniería Minera e Industrial de Almadén","Grado en Ingeniería de los Recursos Energéticos",Pública / Propio,-,-,-,n/d,240,"18,87 €" 
"Universidad de Castilla- La Mancha","Escuela Politécnica de Cuenca","Grado en Ingeniería de Sistemas Audiovisuales de Telecomunicación",Pública / Propio,-,-,-,,240, 
Universidad de Deusto,Facultad de Ingeniería,"Grado en Industria Digital",Privada / Propio,-,-,-,87 %,240, 
Universidad de Deusto,Facultad de Ingeniería,"Grado en Ingeniería Electrónica Industrial y Automática",Privada / Propio,-,-,-,66 %,240, 
Universidad de Deusto,Facultad de Ingeniería,"Grado en Ingeniería en Diseño Industrial",Privada / Propio,-,-,-,91 %,240, 
Universidad de Deusto,Facultad de Ingeniería,"Grado en Ingeniería en Organización Industrial",Privada / Propio,-,-,-,78 %,240, 
Universidad de Deusto,Facultad de Ingeniería,"Grado en Ingeniería en Tecnologías Industriales",Privada / Propio,-,-,-,80 %,240, 
Universidad de Deusto,Facultad de Ingeniería,"Grado en Ingeniería Mecánica",Privada / Propio,-,-,-,67 %,240, 
Universidad de Deusto,Facultad de Ingeniería,"Grado en Ingeniería Robótica",Privada / Propio,-,-,-,,240, 
"Universidad de Extremadura","Escuela de Ingenierías Industriales","Grado en Ingeniería de Materiales",Pública / Propio,-,-,-,55 %,240,"16,83 €" 
"Universidad de Extremadura",Facultad de Ciencias,"Grado en Ingeniería Química",Pública / Propio,-,-,-,,240, 
"Universidad de La Laguna","Escuela Técnica Superior de Náutica, Máquinas y Radioelectrónica Naval","Grado en Tecnologías Marinas",Pública / Propio,-,-,-,62 %,240,"14,59 €" 
"Universidad de Las Palmas de Gran Canaria","Escuela de Ingeniería Informática","Grado en Ciencia e Ingeniería de Datos",Pública / Propio,-,-,-,,240, 
Universidad de Lleida,"Escuela Técnica Superior de Ingeniería Agraria","Grado en Conservación de la Naturaleza",Pública / Propio,-,-,-,,240, 
Universidad de Lleida,"Escuela Politécnica Superior","Grado en Ingeniería de la Energía y Sostenibilidad",Pública / Propio,-,-,-,65 %,240,"39,53 €" 
Universidad de Lleida,"Escuela Politécnica Superior","Grado en Ingeniería en Electrónica Industrial y Automática",Pública / Propio,-,-,-,73 %,240,"39,53 €" 
Universidad de Lleida,"Escuela Politécnica Superior","Grado en Ingeniería en Organización Industrial y Logística",Pública / Propio,-,-,-,91 %,240,"39,53 €" 
Universidad de Lleida,"Escuela Politécnica Superior","Grado en Ingeniería Mecánica",Pública / Propio,-,-,-,75 %,240,"39,53 €" 
Universidad de Lleida,"Escuela Politécnica Superior","Grado en Ingeniería Química",Pública / Propio,-,-,-,77 %,240,"39,53 €" 
Universidad de Navarra,Escuela de Ingeniería,"Grado en Ingeniería de Tecnologías Industriales",Privada / Propio,-,-,-,94 %,240, 
Universidad de Navarra,Escuela de Ingeniería,"Grado en Ingeniería Eléctrica",Privada / Propio,-,-,-,79 %,240, 
Universidad de Navarra,Escuela de Ingeniería,"Grado en Ingeniería Electrónica de Comunicaciones",Privada / Propio,-,-,-,86 %,240, 
Universidad de Navarra,Escuela de Ingeniería,"Grado en Ingeniería en Diseño Industrial y Desarrollo de Productos",Privada / Propio,-,-,-,81 %,240, 
Universidad de Navarra,Escuela de Ingeniería,"Grado en Ingeniería en Electrónica Industrial",Privada / Propio,-,-,-,82 %,240, 
Universidad de Navarra,Escuela de Ingeniería,"Grado en Ingeniería en Organización Industrial",Privada / Propio,-,-,-,87 %,240, 
Universidad de Navarra,Escuela de Ingeniería,"Grado en Ingeniería en Sistemas de Telecomunicación",Privada / Propio,-,-,-,91 %,240, 
Universidad de Navarra,Escuela de Ingeniería,"Grado en Ingeniería Mecánica",Privada / Propio,-,-,-,86 %,240, 
"Universidad de Valladolid","Escuela de Ingenierías Industriales","Grado en Ingeniería Energética",Pública / Propio,-,-,-,,240, 
"Universidad de Vic- Universidad Central de Catalunya","Facultad de Ciencias y Tecnología","Grado en Agroecología y Sistemas Alimentarios",Privada / Propio,-,-,-,,180, 
Universidad de Vigo,"Centro Universitario de la Defensa en la Escuela Naval Militar de Marín","Grado en Ingeniería Mecánica",Pública / Adscrito,78,-,"12,19",62 %,240, 
"Universidad de Zaragoza","Centro Universitario de la Defensa","Grado en Ingeniería de Organización Industrial",Pública / Adscrito,-,-,"11,81",85 %,240, 
"Universidad del País Vasco/Euskal Herriko Unibertsitatea","Escuela de Ingeniería de Guipuzcoa","Grado en Ingeniería de Energías Renovables",Pública / Propio,-,-,-,77 %,240,"19,19 €" 
"Universidad del País Vasco/Euskal Herriko Unibertsitatea","Escuela de Ingeniería en Alternancia","Grado en Ingeniería en Innovación de Procesos y Productos",Pública / Adscrito,50,-,"6,69",73 %,240, 
"Universidad Europea de Madrid","Escuela de Arquitectura, Ingeniería y Diseño. Campus Villaviciosa y Alcobendas","Grado en Ingeniería Aeroespacial en Aeronaves",Privada / Propio,-,-,-,74 %,240, 
"Universidad Europea de Madrid","Escuela de Arquitectura, Ingeniería y Diseño. Campus Villaviciosa y Alcobendas","Grado en Ingeniería en Sistemas de Telecomunicación",Privada / Propio,-,-,-,n/d,240, 
"Universidad Europea de Madrid","Escuela de Arquitectura, Ingeniería y Diseño. Campus Villaviciosa y Alcobendas","Grado en Ingeniería en Sistemas Industriales",Privada / Propio,-,-,-,77 %,240, 
"Universidad Europea de Valencia","Escuela de Arquitectura y Politécnica","Grado en Ingeniería de Organización Industrial",Privada / Propio,-,-,-,,240, 
"Universidad Europea del Atlántico","Facultad de Ciencias de la Salud","Grado en Ciencia y Tecnología de los Alimentos",Privada / Propio,-,-,-,70 %,240, 
"Universidad Europea del Atlántico","Escuela Politécnica Superior","Grado en Ingeniería de Organización Industrial",Privada / Propio,-,-,-,90 %,240, 
"Universidad Europea Miguel de Cervantes, SA","Escuela Politécnica Superior","Grado en Ingeniería de Organización Industrial",Privada / Propio,-,-,-,93 %,240, 
"Universidad Europea Miguel de Cervantes, SA","Escuela Politécnica Superior","Grado en Tecnología e Innovación Alimentaria",Privada / Propio,-,-,-,93 %,240, 
"Universidad Francisco de Vitoria","Facultad de Ciencias Experimentales","Grado en Ingeniería Biomédica",Privada / Propio,-,-,-,,240, 
"Universidad Francisco de Vitoria","Escuela Politécnica Superior","Grado en Ingeniería en Industria Conectada",Privada / Propio,-,-,-,,240, 
"Universidad Francisco de Vitoria","Escuela Politécnica Superior","Grado en Ingeniería en Sistemas Industriales",Privada / Propio,-,-,-,,240, 
"Universidad Internacional de La Rioja","Escuela Superior de Ingeniería y Tecnología","Grado en Ingeniería en Organización Industrial",Privada / Propio,-,-,-,69 %,240, 
"Universidad Loyola Andalucía","Escuela Técnica Superior de Ingeniería (Sede de Sevilla)","Grado en Ingeniería de la Energía",Privada / Propio,-,-,-,,240, 
"Universidad Loyola Andalucía","Escuela Técnica Superior de Ingeniería (Sede de Sevilla)","Grado en Ingeniería de las Tecnologías Industriales",Privada / Propio,-,-,-,,240, 
"Universidad Loyola Andalucía","Escuela Técnica Superior de Ingeniería (Sede de Sevilla)","Grado en Ingeniería de Organización Industrial",Privada / Propio,-,-,-,80 %,240, 
"Universidad Loyola Andalucía","Escuela Técnica Superior de Ingeniería (Sede de Sevilla)","Grado en Ingeniería Electromecánica",Privada / Propio,-,-,-,89 %,240, 
"Universidad Loyola Andalucía","Escuela Técnica Superior de Ingeniería (Sede de Sevilla)","Grado en Ingeniería Mecatrónica y Robótica",Privada / Propio,-,-,-,72 %,240, 
"Universidad Nacional de Educación a Distancia","Escuela Técnica Superior de Ingenieros Industriales","Grado en Ingeniería Eléctrica",Pública / Propio,-,-,n/d,17 %,240,"21,60 €" 
"Universidad Nacional de Educación a Distancia","Escuela Técnica Superior de Ingenieros Industriales","Grado en Ingeniería Electrónica Industrial y Automática",Pública / Propio,-,-,n/d,17 %,240,"21,60 €" 
"Universidad Nacional de Educación a Distancia","Escuela Técnica Superior de Ingenieros Industriales","Grado en Ingeniería en Tecnologías Industriales",Pública / Propio,-,-,n/d,17 %,240,"21,60 €" 
"Universidad Nacional de Educación a Distancia","Escuela Técnica Superior de Ingenieros Industriales","Grado en Ingeniería Mecánica",Pública / Propio,-,-,"7,11",20 %,240,"21,60 €" 
"Universidad Politécnica de Cartagena","Escuela Técnica Superior de Arquitectura y Edificación",Grado en Edificación,Pública / Propio,-,-,-,,240, 
"Universidad Politécnica de Catalunya","Escuela Técnica Superior de Ingeniería de Caminos, Canales y Puertos de Barcelona","Grado en Ingeniería Ambiental",Pública / Propio,-,-,-,,240, 
"Universidad Politécnica de Catalunya","Escuela Técnica Superior de Ingeniería de Telecomunicación","Grado en Ingeniería de Sistemas de Telecomunicación",Pública / Propio,-,-,-,74 %,240,"39,53 €" 
"Universidad Politécnica de Catalunya","Escuela de Ingeniería de Telecomunicación y Aeroespacial de Castelldefels","Grado en Ingeniería de Sistemas de Telecomunicación",Pública / Propio,-,-,-,74 %,240,"39,53 €" 
"Universidad Politécnica de Catalunya","Escuela Superior de Ingenierías Industrial, Aeroespacial y Audiovisual de Terrassa","Grado en Ingeniería de Tecnología y Diseño Textil",Pública / Propio,-,-,n/d,91 %,240,"39,53 €" 
"Universidad Politécnica de Catalunya","Escuela Politécnica Superior de Ingeniería de Manresa","Grado en Ingeniería Electrónica Industrial y Automática",Pública / Propio,-,-,-,83 %,240,"39,53 €" 
"Universidad Politécnica de Catalunya","Escuela Politécnica Superior de Ingenieria de Vilanova i la Geltrú","Grado en Ingeniería Electrónica Industrial y Automática",Pública / Propio,-,-,n/d,83 %,240,"39,53 €" 
"Universidad Politécnica de Catalunya","Escuela Superior de Ingenierías Industrial, Aeroespacial y Audiovisual de Terrassa","Grado en Ingeniería Electrónica Industrial y Automática",Pública / Propio,-,-,-,83 %,240,"39,53 €" 
"Universidad Politécnica de Catalunya","Escuela Técnica Superior de Ingeniería de Caminos, Canales y Puertos de Barcelona","Grado en Ingeniería Geológica y Ambiental",Pública / Propio,-,-,-,,240, 
"Universidad Politécnica de Catalunya","Escuela Politécnica Superior de Ingenieria de Vilanova i la Geltrú","Grado en Ingeniería Mecánica",Pública / Propio,-,-,"7,23",79 %,240,"39,53 €" 
"Universidad Politécnica de Catalunya","Escuela Superior de Ingenierías Industrial, Aeroespacial y Audiovisual de Terrassa","Grado en Ingeniería Mecánica",Pública / Propio,-,-,-,79 %,240,"39,53 €" 
"Universidad Politécnica de Catalunya","Escuela Politécnica Superior de Ingeniería de Manresa","Grado en Ingeniería Mecánica",Pública / Propio,-,-,n/d,79 %,240,"39,53 €" 
"Universidad Politécnica de Catalunya","Escuela Superior de Ingenierías Industrial, Aeroespacial y Audiovisual de Terrassa","Grado en Ingeniería Química",Pública / Propio,-,-,-,73 %,240,"39,53 €" 
"Universidad Politécnica de Catalunya","Escuela de Ingeniería de Igualada","Grado en Ingeniería Química",Pública / Adscrito,-,-,-,73 %,240, 
"Universidad Politécnica de Catalunya","Escuela Politécnica Superior de Ingeniería de Manresa","Grado en Ingeniería Química",Pública / Propio,-,-,n/d,73 %,240,"39,53 €" 
"Universidad Politécnica de Catalunya","Escuela de Ingeniería de Telecomunicación y Aeroespacial de Castelldefels","Grado en Ingeniería Telemática",Pública / Propio,-,-,-,76 %,240,"39,53 €" 
"Universidad Politécnica de Catalunya","Escuela Técnica Superior de Ingeniería de Telecomunicación","Grado en Ingeniería Telemática",Pública / Propio,-,-,-,76 %,240,"39,53 €" 
"Universidad Politécnica de Madrid","Escuela Técnica Superior de Ingenieros Navales","Grado en Arquitectura Naval",Pública / Propio,60,-,"10,22",61 %,240,"24,55 €" 
"Universidad Politécnica de Madrid","Escuela Técnica Superior de Ingenieros de Minas y Energía","Grado en Ingeniería de los Recursos Energéticos, Combustibles y Explosivos",Pública / Propio,50,-,-,75 %,240,"24,55 €" 
"Universidad Politécnica de Madrid","Escuela Técnica Superior de Ingenieros Industriales","Grado en Ingeniería Eléctrica",Pública / Propio,-,-,-,60 %,240,"24,55 €" 
"Universidad Politécnica de Madrid","Escuela Técnica Superior de Ingenieros Industriales","Grado en Ingeniería Electrónica Industrial y Automática",Pública / Propio,-,-,-,65 %,240,"24,55 €" 
"Universidad Politécnica de Madrid","Escuela Técnica Superior de Ingenieros Industriales","Grado en Ingeniería Mecánica",Pública / Propio,-,-,-,72 %,240,"24,55 €" 
"Universidad Politécnica de Madrid","Escuela Técnica Superior de Ingeniería y Sistemas de Telecomunicación","Grado en Ingeniería y Sistemas de Datos",Pública / Propio,-,-,-,,240, 
"Universidad Politécnica de Madrid","Escuela Técnica Superior de Ingenieros de Telecomunicación","Grado en Ingeniería y Sistemas de Datos",Pública / Propio,-,-,-,,240, 
"Universidad Pompeu Fabra","Escuela Superior Politécnica Tecnocampus","Grado en Ingeniería de Organización Industrial",Pública / Adscrito,-,-,-,82 %,240, 
"Universidad Pompeu Fabra","Escuela Superior Politécnica Tecnocampus","Grado en Ingeniería Electrónica Industrial y Automática",Pública / Adscrito,-,-,-,81 %,240, 
"Universidad Pompeu Fabra","Escuela Superior Politécnica Tecnocampus","Grado en Ingeniería Mecánica",Pública / Adscrito,-,-,-,84 %,240, 
"Universidad Pompeu Fabra","Facultad de Economía y Empresa","Grado en Tecnologías Industriales y Análisis Económico / Industrial Technologies and Economic Analysis",Pública / Propio,-,-,-,,240, 
"Universidad Pontificia Comillas","Escuela Técnica Superior de Ingeniería (ICAI)","Grado en Ingeniería en Tecnologías de Telecomunicación",Privada / Propio,-,-,-,89 %,240, 
"Universidad Pontificia Comillas","Escuela Técnica Superior de Ingeniería (ICAI)","Grado en Ingeniería en Tecnologías Industriales",Privada / Propio,-,-,-,86 %,240, 
"Universidad Pontificia de Salamanca","Escuela Superior de Ingeniería y Arquitectura","Grado en Ingeniería de Organización Industrial",Privada / Propio,-,-,-,,240, 
"Universidad Pública de Navarra","Escuela Técnica Superior de Ingeniería Industrial, Informática y Telecomunicación. Sede de Tudela","Grado en Ingeniería en Diseño Mecánico",Pública / Propio,-,-,-,72 %,240,"23,05 €" 
"Universidad Ramón Llull","La Salle Digital Engineering School/ Escola Tècnica Superior d'Enginyeria La Salle/ Escuela Técnica Superior de Ingeniería La Salle","Grado en Ingeniería de Sistemas Audiovisuales",Privada / Propio,-,-,-,54 %,240, 
